run_index,source_path,generated_at_utc,pred_label,n_particles,mean_super_score,mean_pt,mean_energy,mean_deltaR,particle0_fraction,charged_fraction
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,label_Hqql,599,2.5072382391991717,45.74951431060257,66.53524997865219,0.19352509921113253,0.08347245409015025,0.4524207011686144
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,label_Tbl,336,2.518002119447504,45.0248954372115,57.50140246145782,0.32242472046205084,0.08333333333333333,0.375
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,label_Wqq,12,2.2187444965044656,55.81353279422075,184.97999354203543,0.23102972627222315,0.08333333333333333,0.3333333333333333
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,label_Zqq,12,2.6364502708117166,36.63273994589182,79.75758115450542,0.11565868809234542,0.08333333333333333,0.6666666666666666
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,label_Hqql,972,2.399367844126352,36.47223117418151,51.82712731979512,0.19909890502896763,0.06378600823045268,0.44650205761316875
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,label_QCD,19,2.375647086846201,70.23214752204831,81.34059717153248,0.15661394584598318,0.10526315789473684,0.3684210526315789
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,label_Tbl,765,2.436252924196081,34.65146443951371,44.743482864760104,0.3272304395586952,0.06405228758169934,0.40261437908496733
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,label_Wqq,80,2.3566306978464127,37.50498106617069,86.71833768785,0.17243832564171616,0.0625,0.4875
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,label_Zqq,29,2.5199172825648866,34.98484248359545,60.917477171996545,0.21936991374453194,0.06896551724137931,0.5172413793103449
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,label_Hgg,16,3.040379971265793,23.507333021397677,33.78955419361591,0.13364808070282483,0.0625,0.5
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,label_Hqql,1324,2.521272792106669,36.72184123085265,57.276935320696445,0.20709336500916037,0.0634441087613293,0.4569486404833837
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,label_QCD,16,2.9433908611536026,21.242904758075017,21.35243597626686,0.04646602762156212,0.0625,0.375
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,label_Tbl,489,2.5384643821384767,36.95087668311204,53.933461376128754,0.3146520739551247,0.06339468302658487,0.39263803680981596
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,label_Wqq,16,2.2540326714515686,44.44359260271762,149.01557463407516,0.21686154167506722,0.0625,0.25
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,label_Zqq,32,2.621161513030529,24.487580594408588,32.664136964827776,0.17327411518630795,0.0625,0.34375
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,label_Hqql,1566,2.58155300181792,36.4442834754073,55.20732426137151,0.20754522278242254,0.06321839080459771,0.454661558109834
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,label_QCD,16,3.039346292614937,21.242904758075017,21.35243597626686,0.04646602762156212,0.0625,0.375
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,label_Tbl,264,2.6393169534928873,40.095226718364295,54.7311232029037,0.29905600247444897,0.06439393939393939,0.4166666666666667
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,label_Wqq,16,2.746244564652443,21.904899155165662,78.62809132039547,0.1448907699721215,0.0625,0.625
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,label_Zqq,32,3.2202731296420097,23.847096348764172,24.25975381396711,0.10933770576482597,0.0625,0.53125
12,manifests/history/research_evidence_graph_20260616_052843.json,2026-06-16T05:28:42.780658+00:00,label_Hqql,1566,2.58155300181792,36.4442834754073,55.20732426137151,0.20754522278242254,0.06321839080459771,0.454661558109834
12,manifests/history/research_evidence_graph_20260616_052843.json,2026-06-16T05:28:42.780658+00:00,label_QCD,16,3.039346292614937,21.242904758075017,21.35243597626686,0.04646602762156212,0.0625,0.375
12,manifests/history/research_evidence_graph_20260616_052843.json,2026-06-16T05:28:42.780658+00:00,label_Tbl,264,2.6393169534928873,40.095226718364295,54.7311232029037,0.29905600247444897,0.06439393939393939,0.4166666666666667
12,manifests/history/research_evidence_graph_20260616_052843.json,2026-06-16T05:28:42.780658+00:00,label_Wqq,16,2.746244564652443,21.904899155165662,78.62809132039547,0.1448907699721215,0.0625,0.625
12,manifests/history/research_evidence_graph_20260616_052843.json,2026-06-16T05:28:42.780658+00:00,label_Zqq,32,3.2202731296420097,23.847096348764172,24.25975381396711,0.10933770576482597,0.0625,0.53125
13,manifests/history/research_evidence_graph_20260616_053103.json,2026-06-16T05:31:03.047143+00:00,label_Hqql,1566,2.58155300181792,36.4442834754073,55.20732426137151,0.20754522278242254,0.06321839080459771,0.454661558109834
13,manifests/history/research_evidence_graph_20260616_053103.json,2026-06-16T05:31:03.047143+00:00,label_QCD,16,3.039346292614937,21.242904758075017,21.35243597626686,0.04646602762156212,0.0625,0.375
13,manifests/history/research_evidence_graph_20260616_053103.json,2026-06-16T05:31:03.047143+00:00,label_Tbl,264,2.6393169534928873,40.095226718364295,54.7311232029037,0.29905600247444897,0.06439393939393939,0.4166666666666667
13,manifests/history/research_evidence_graph_20260616_053103.json,2026-06-16T05:31:03.047143+00:00,label_Wqq,16,2.746244564652443,21.904899155165662,78.62809132039547,0.1448907699721215,0.0625,0.625
13,manifests/history/research_evidence_graph_20260616_053103.json,2026-06-16T05:31:03.047143+00:00,label_Zqq,32,3.2202731296420097,23.847096348764172,24.25975381396711,0.10933770576482597,0.0625,0.53125
14,manifests/history/research_evidence_graph_20260616_064300.json,2026-06-16T06:43:00.041263+00:00,label_Hqql,1566,2.58155300181792,36.4442834754073,55.20732426137151,0.20754522278242254,0.06321839080459771,0.454661558109834
14,manifests/history/research_evidence_graph_20260616_064300.json,2026-06-16T06:43:00.041263+00:00,label_QCD,16,3.039346292614937,21.242904758075017,21.35243597626686,0.04646602762156212,0.0625,0.375
14,manifests/history/research_evidence_graph_20260616_064300.json,2026-06-16T06:43:00.041263+00:00,label_Tbl,264,2.6393169534928873,40.095226718364295,54.7311232029037,0.29905600247444897,0.06439393939393939,0.4166666666666667
14,manifests/history/research_evidence_graph_20260616_064300.json,2026-06-16T06:43:00.041263+00:00,label_Wqq,16,2.746244564652443,21.904899155165662,78.62809132039547,0.1448907699721215,0.0625,0.625
14,manifests/history/research_evidence_graph_20260616_064300.json,2026-06-16T06:43:00.041263+00:00,label_Zqq,32,3.2202731296420097,23.847096348764172,24.25975381396711,0.10933770576482597,0.0625,0.53125
