step_id,source_location,operation_kind,module_name,input_names,output_name,input_shape,output_shape,replay_status,reason_if_not_replayed,source_text
118,runtime_forward_capture,LayerNorm,mod.cls_blocks.0.pre_attn_norm,,mod.cls_blocks.0.pre_attn_norm,[129x8x128],129x8x128,CAPTURED,,
119,runtime_forward_capture,MultiheadAttention,mod.cls_blocks.0.attn,,mod.cls_blocks.0.attn,"[1x8x128,129x8x128,129x8x128]","[1x8x128,8x1x129]",CAPTURED,,
120,runtime_forward_capture,LayerNorm,mod.cls_blocks.0.post_attn_norm,,mod.cls_blocks.0.post_attn_norm,[1x8x128],1x8x128,CAPTURED,,
121,runtime_forward_capture,Dropout,mod.cls_blocks.0.dropout,,mod.cls_blocks.0.dropout,[1x8x128],1x8x128,CAPTURED,,
122,runtime_forward_capture,LayerNorm,mod.cls_blocks.0.pre_fc_norm,,mod.cls_blocks.0.pre_fc_norm,[1x8x128],1x8x128,CAPTURED,,
123,runtime_forward_capture,Linear,mod.cls_blocks.0.fc1,,mod.cls_blocks.0.fc1,[1x8x128],1x8x512,CAPTURED,,
124,runtime_forward_capture,GELU,mod.cls_blocks.0.act,,mod.cls_blocks.0.act,[1x8x512],1x8x512,CAPTURED,,
125,runtime_forward_capture,Dropout,mod.cls_blocks.0.act_dropout,,mod.cls_blocks.0.act_dropout,[1x8x512],1x8x512,CAPTURED,,
126,runtime_forward_capture,LayerNorm,mod.cls_blocks.0.post_fc_norm,,mod.cls_blocks.0.post_fc_norm,[1x8x512],1x8x512,CAPTURED,,
127,runtime_forward_capture,Linear,mod.cls_blocks.0.fc2,,mod.cls_blocks.0.fc2,[1x8x512],1x8x128,CAPTURED,,
128,runtime_forward_capture,Block,mod.cls_blocks.0,,mod.cls_blocks.0,[128x8x128],1x8x128,CAPTURED,,
129,runtime_forward_capture,LayerNorm,mod.cls_blocks.1.pre_attn_norm,,mod.cls_blocks.1.pre_attn_norm,[129x8x128],129x8x128,CAPTURED,,
130,runtime_forward_capture,MultiheadAttention,mod.cls_blocks.1.attn,,mod.cls_blocks.1.attn,"[1x8x128,129x8x128,129x8x128]","[1x8x128,8x1x129]",CAPTURED,,
131,runtime_forward_capture,LayerNorm,mod.cls_blocks.1.post_attn_norm,,mod.cls_blocks.1.post_attn_norm,[1x8x128],1x8x128,CAPTURED,,
132,runtime_forward_capture,Dropout,mod.cls_blocks.1.dropout,,mod.cls_blocks.1.dropout,[1x8x128],1x8x128,CAPTURED,,
133,runtime_forward_capture,LayerNorm,mod.cls_blocks.1.pre_fc_norm,,mod.cls_blocks.1.pre_fc_norm,[1x8x128],1x8x128,CAPTURED,,
134,runtime_forward_capture,Linear,mod.cls_blocks.1.fc1,,mod.cls_blocks.1.fc1,[1x8x128],1x8x512,CAPTURED,,
135,runtime_forward_capture,GELU,mod.cls_blocks.1.act,,mod.cls_blocks.1.act,[1x8x512],1x8x512,CAPTURED,,
136,runtime_forward_capture,Dropout,mod.cls_blocks.1.act_dropout,,mod.cls_blocks.1.act_dropout,[1x8x512],1x8x512,CAPTURED,,
137,runtime_forward_capture,LayerNorm,mod.cls_blocks.1.post_fc_norm,,mod.cls_blocks.1.post_fc_norm,[1x8x512],1x8x512,CAPTURED,,
138,runtime_forward_capture,Linear,mod.cls_blocks.1.fc2,,mod.cls_blocks.1.fc2,[1x8x512],1x8x128,CAPTURED,,
139,runtime_forward_capture,Block,mod.cls_blocks.1,,mod.cls_blocks.1,[128x8x128],1x8x128,CAPTURED,,
140,runtime_forward_capture,LayerNorm,mod.norm,,mod.norm,[1x8x128],1x8x128,CAPTURED,,
141,runtime_forward_capture,Linear,mod.fc.0,,mod.fc.0,[8x128],8x10,CAPTURED,,
142,runtime_forward_capture,Sequential,mod.fc,,mod.fc,[8x128],8x10,CAPTURED,,
143,runtime_forward_capture,ParticleTransformer,mod,,mod,[8x13x128],8x10,CAPTURED,,
