particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
hardest_hadron,L2_ch224:256,label_Hqql,4.946063904504824,3.188289793928914,10.277533399134908,-1.7577741105759097,-7.089243605205994,0,1.7577741105759097,12.461288872796922,PATH: hardest_hadron -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.7578; B-C=-7.0892; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch160:192,label_Hqql,0.6510179345154823,-1.0141517052995042,-1.960264525102786,-1.6651696398149864,0.9461128198032818,0,1.6651696398149864,1.5754383433761718,PATH: photon_neighbor -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.6652; B-C=0.9461; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch160:192,label_Hqql,0.481651398921346,-1.1590570877579864,-1.8655163835880988,-1.6407084866793324,0.7064592958301124,0,1.6407084866793324,1.1590937621619706,PATH: hadron_neighbor -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.6407; B-C=0.7065; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch224:256,label_Hqql,5.096110727339494,3.473482360854206,8.925959805033925,-1.622628366485288,-5.452477444179719,0,1.622628366485288,8.847344568547216,PATH: photon_neighbor -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.6226; B-C=-5.4525; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch160:192,label_Hqql,0,-1.5500730892359371,-19.451679844124556,-1.5500730892359371,17.90160675488862,0,1.5500730892359371,27.74879888483712,PATH: particle0 -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.5501; B-C=17.9016; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch96:128,label_Hqql,0.11959597449742887,-1.350644071053182,-0.9786696040986443,-1.4702400455506108,-0.3719744669545376,0,1.4702400455506108,0.5468917572389036,PATH: best_lepton -> L2_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.4702; B-C=-0.3720; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch64:96,label_Hqql,2.0452308103579213,0.7510348231548676,1.2552137065737419,-1.2941959872030537,-0.5041788834188743,0,1.2941959872030537,0.6525062877532234,PATH: hardest_hadron -> L2_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.2942; B-C=-0.5042; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch160:192,label_Hqql,-0.051140511034276415,-1.3242180439830709,-8.15047798832183,-1.2730775329487944,6.8262599443387595,0,1.2730775329487944,8.690358169205963,PATH: second_lepton -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.2731; B-C=6.8263; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch160:192,label_Hqql,0.6486619684409168,-0.5960609654767598,-1.8281174431680483,-1.2447229339176766,1.2320564776912883,0,1.2447229339176766,1.533568953664179,PATH: hard_hadron -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.2447; B-C=1.2321; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch0:32,label_Hqql,3.3997384534632715,2.3204354134904484,3.4759030237336526,-1.0793030399728232,-1.1554676102432042,0,1.0793030399728232,1.2470997043256236,PATH: second_lepton -> L2_ch0:32 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.0793; B-C=-1.1555; NEXT_PROBE: inspect particle geometry/source blocks.
