particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
other_lepton,L0_ch24:32,label_Tbl,1,-30.430880388571495,0,0.0,1,-9.32473984598937,30.430880388571495,9.32473984598937,2.947375027603463,0.0,283.7600429078491,target_like_trigger_candidate
other_lepton,L0_ch40:48,label_Tbl,0,0.0,1,53.49899824410386,2,58.769527000198536,53.49899824410386,-5.270528756094677,8.531816107549972,0.0,281.968008667808,target_like_trigger_candidate
hard_hadron,L1_ch112:128,label_Hqql,27,94.31507933033825,9,78.3545519416243,72,60.75269088379064,-15.960527388713956,17.601861057833652,0.0,15.960527388713956,280.93498550589163,source_evidence_loss_candidate
hadron_neighbor,L1_ch0:16,label_Tbl,20,-8.71765675017565,6,9.664203389397244,72,-5.592734936217157,18.381860139572893,15.256938325614401,1.1307086101575763,0.0,280.45090645953337,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L1_ch32:48,label_Hqql,12,12.40280940824376,3,4.290311473287488,49,-28.616025130620866,-8.112497934956272,32.90633660390836,0.0,8.112497934956272,266.95258774618253,source_evidence_loss_candidate
hard_hadron,L1_ch16:32,label_Tbl,6,144.8477882753388,4,102.19774952325065,38,108.33466230266875,-42.650038752088136,-6.136912779418097,5.975978699793719,0.0,261.7395678603667,target_like_trigger_candidate
second_lepton,L0_ch56:64,label_Tbl,1,-26.934995209815042,0,0.0,2,9.66270753271317,26.934995209815042,-9.66270753271317,2.5260934079996584,0.0,260.264981107473,target_like_trigger_candidate
nearest_hadron_to_best_lepton,L1_ch48:64,label_Hqql,5,26.893879598323927,2,10.8963089098296,25,-4.902853464090767,-15.997570688494328,15.799162373920367,0.0,15.997570688494328,252.74821689579093,source_evidence_loss_candidate
photon_neighbor,L0_ch56:64,label_Tbl,52,-24.429809200344128,20,-15.293464250663032,212,11.10028076092809,9.136344949681096,-26.393745011591122,0.33351938356056215,0.0,241.14235893982115,anomalous_third_topology_candidate
hadron_neighbor,L1_ch32:48,label_Hqql,50,13.907668618764866,15,3.7339052426167503,166,-19.912666293584238,-10.173763376148116,23.646571536200987,0.0,10.173763376148116,240.5746234664681,source_evidence_loss_candidate
photon_neighbor,L1_ch0:16,label_Hqql,71,3.336231426462267,21,-28.063372927183156,263,-35.708849996901286,-31.399604353645422,7.64547706971813,0.0,31.399604353645422,240.06495508401764,source_evidence_loss_candidate
particle0_best_lepton,L1_ch0:16,label_Hqql,1,-3.96470695380458,1,-10.6992751669668,11,-46.1846786692821,-6.73456821316222,35.4854035023153,0.0,6.73456821316222,238.97887045792794,source_evidence_loss_candidate
hard_hadron,L1_ch96:112,label_Tbl,10,9.055970789489868,4,30.904620885433246,54,20.3461649007448,21.848650095943377,10.558455984688447,1.8902741096982512,0.0,230.68801036287715,target_like_trigger_candidate
hadron_neighbor,L1_ch16:32,label_Hqql,22,203.0696165537832,11,200.3633627708982,73,283.85592847993223,-2.7062537828849997,-83.49256570903404,0.0,2.7062537828849997,225.9520717928478,source_evidence_loss_candidate
photon_neighbor,L0_ch48:56,label_Tbl,44,-1.5857257235699753,17,9.563768244592191,190,29.79700127575405,11.149493968162167,-20.23323303116186,0.5250963879028308,0.0,225.59030963735867,anomalous_third_topology_candidate
particle0_best_lepton,L0_ch24:32,label_Hqql,1,13.735389743383507,0,0.0,3,15.681531996279015,-13.735389743383507,-15.681531996279015,0.0,13.735389743383507,215.39195374223107,source_evidence_loss_candidate
hard_hadron,L0_ch16:24,label_Tbl,7,29.43637645205188,4,38.11554707831249,23,13.444926558005957,8.679170626260607,24.67062052030653,0.3380974222806582,0.0,214.12052495146662,anomalous_third_topology_candidate
hard_hadron,L0_ch56:64,label_Tbl,14,-16.4725059432568,6,10.866603663564169,39,3.1111967718374545,27.33910960682097,7.7554068917267145,3.122540156603645,0.0,212.02591905841138,target_like_trigger_candidate
hard_hadron,L0_ch48:56,label_Hqql,1,5.6229964862868655,1,23.431342073892665,16,11.613303057617927,17.8083455876058,11.818039016274739,0.0,0.0,210.45972296962944,anomalous_third_topology_candidate
hard_hadron,L1_ch48:64,label_Tbl,8,13.898808332250084,5,23.295654334987056,55,1.4469540444626257,9.396846002736972,21.84870029052443,0.4112639180021076,0.0,205.3088719900126,anomalous_third_topology_candidate
