control,class_id,class_label,n,base_acc,ctrl_acc,acc_drop,flip_rate,delta_base_pred_logit_mean
random_remove4,8,label_Tbqq,256,0.90625,0.87890625,0.02734375,0.05078125,-0.42952674627304077
random_remove4,9,label_Tbl,256,0.96875,0.765625,0.203125,0.21484375,-3.276353359222412
remove_top8,0,label_QCD,256,0.69921875,0.640625,0.05859375,0.3515625,-5.7799272537231445
remove_top8,1,label_Hbb,256,0.6484375,0.1640625,0.484375,0.70703125,-9.832399368286133
remove_top8,2,label_Hcc,256,0.58203125,0.01171875,0.5703125,0.8203125,-10.900668144226074
remove_top8,3,label_Hgg,256,0.69140625,0.66015625,0.03125,0.33984375,-4.806887149810791
remove_top8,4,label_H4q,256,0.78125,0.69140625,0.08984375,0.28125,-5.66110372543335
remove_top8,5,label_Hqql,256,0.95703125,0.046875,0.91015625,0.94921875,-21.879995346069336
remove_top8,6,label_Zqq,256,0.609375,0.00390625,0.60546875,0.9296875,-11.15761947631836
remove_top8,7,label_Wqq,256,0.73046875,0.0234375,0.70703125,0.92578125,-11.54080581665039
remove_top8,8,label_Tbqq,256,0.90625,0.4453125,0.4609375,0.54296875,-8.555340766906738
remove_top8,9,label_Tbl,256,0.96875,0.00390625,0.96484375,0.99609375,-22.125198364257812
keep_top8,0,label_QCD,256,0.69921875,0.63671875,0.0625,0.44921875,-5.858552932739258
keep_top8,1,label_Hbb,256,0.6484375,0.03515625,0.61328125,0.9140625,-10.767576217651367
keep_top8,2,label_Hcc,256,0.58203125,0.1015625,0.48046875,0.83984375,-7.794617652893066
keep_top8,3,label_Hgg,256,0.69140625,0.0,0.69140625,0.890625,-11.622549057006836
keep_top8,4,label_H4q,256,0.78125,0.69921875,0.08203125,0.42578125,-6.988883972167969
keep_top8,5,label_Hqql,256,0.95703125,0.921875,0.03515625,0.078125,0.45348548889160156
keep_top8,6,label_Zqq,256,0.609375,0.14453125,0.46484375,0.70703125,-4.99091911315918
keep_top8,7,label_Wqq,256,0.73046875,0.640625,0.08984375,0.37890625,-3.5534486770629883
keep_top8,8,label_Tbqq,256,0.90625,0.05859375,0.84765625,0.9296875,-12.651467323303223
keep_top8,9,label_Tbl,256,0.96875,0.53515625,0.43359375,0.44140625,-0.5210578441619873
random_remove8,0,label_QCD,256,0.69921875,0.65625,0.04296875,0.20703125,-0.934664249420166
random_remove8,1,label_Hbb,256,0.6484375,0.38671875,0.26171875,0.42578125,-1.9414207935333252
random_remove8,2,label_Hcc,256,0.58203125,0.39453125,0.1875,0.4296875,-2.031510353088379
random_remove8,3,label_Hgg,256,0.69140625,0.578125,0.11328125,0.203125,-0.5706610083580017
random_remove8,4,label_H4q,256,0.78125,0.8359375,-0.0546875,0.13671875,-0.23598897457122803
random_remove8,5,label_Hqql,256,0.95703125,0.6328125,0.32421875,0.36328125,-6.228585243225098
random_remove8,6,label_Zqq,256,0.609375,0.3359375,0.2734375,0.45703125,-2.0123980045318604
random_remove8,7,label_Wqq,256,0.73046875,0.66015625,0.0703125,0.30078125,-2.0026779174804688
random_remove8,8,label_Tbqq,256,0.90625,0.81640625,0.08984375,0.13671875,-1.5432058572769165
random_remove8,9,label_Tbl,256,0.96875,0.55859375,0.41015625,0.4296875,-7.6204938888549805
remove_top16,0,label_QCD,256,0.69921875,0.8203125,-0.12109375,0.3203125,-8.674988746643066
remove_top16,1,label_Hbb,256,0.6484375,0.02734375,0.62109375,0.8828125,-13.40583610534668
remove_top16,2,label_Hcc,256,0.58203125,0.0,0.58203125,0.8984375,-14.070998191833496
remove_top16,3,label_Hgg,256,0.69140625,0.640625,0.05078125,0.43359375,-8.184793472290039
remove_top16,4,label_H4q,256,0.78125,0.3671875,0.4140625,0.6015625,-9.804424285888672
