head_id,pair_role,objective,B_mean_A,B_write_dot_grad,B_abs_write_dot_grad,B_value_norm,B_context_grad_norm,B_minus_A_write,B_minus_C_write,write_support_score,B_AxGrad,B_minus_A_AxGrad,B_minus_C_AxGrad,attention_support_score,module,head,head_grad_signed,head_grad_signed_abs,head_grad_pred_logit,head_grad_pred_logit_abs,compiled_rule_count,exact_pair_rule_count,compiled_routes,bundle_evidence_count,bundle_best_B_delta_margin,bundle_best_B_delta_tbl_pred,evidence_score,diagnosis,mechanism_summary
mod.cls_blocks.0.attn.h2,electron<-photon,B_tbl_minus_hqql,0.029477700155380874,0.003600937793608646,0.005311391005913417,1.6371340612221879,0.0019118624864614497,0.003600937793608646,0.003600937793608646,0.0067292544418913235,0.0036009377718233225,0.0036009377718233225,0.0036009377718233225,0.005401406657734984,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.028195971304452734,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses electron<-photon; natural A×grad=0.0036, value/write=0.0036 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h2,muon<-neutral_hadron,B_tbl_minus_hqql,0.027930977796627718,0.0030212994686073876,0.005825451527595182,6.178723031824285,0.0076924854550849305,0.0030212994686073876,0.0030212994686073876,0.005988312084809877,0.0030212994686073876,0.0030212994686073876,0.0030212994686073876,0.0045319492029110816,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.028130393522918563,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses muon<-neutral_hadron; natural A×grad=0.0030, value/write=0.0030 so it pushes B toward Tbl. Routes: "
mod.blocks.2.attn.h3,electron<-muon,B_tbl_minus_hqql,0.0836009019985795,0.001762482599588111,0.0022212516400031746,8.38779411315918,0.009344861656427384,0.001762482599588111,0.001762482599588111,0.00319903680938296,0.0017624825937673449,0.0017624825937673449,0.0017624825937673449,0.002643723890651017,mod.blocks.2.attn,3,0.016388269024901092,0.016388269024901092,-0.004817509558051825,0.004817509558051825,1,0,muon<-muon,0,,,0.028080801489995793,rule_supported_weak_write,"mod.blocks.2.attn.h3 uses electron<-muon; natural A×grad=0.0018, value/write=0.0018 so it pushes B toward Tbl. Routes: muon<-muon"
mod.cls_blocks.0.attn.h2,CLS<-muon,B_tbl_minus_hqql,0.022008096666208336,0.004061357520099375,0.0045981133506367245,30.40451195126488,0.02675277562368484,0.004061357520099375,0.004061357520099375,0.007241564617808244,0.004061357520099375,0.004061357520099375,0.004061357520099375,0.006092036280149062,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.027943113397452094,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses CLS<-muon; natural A×grad=0.0041, value/write=0.0041 so it pushes B toward Tbl. Routes: "
mod.cls_blocks.0.attn.h5,charged_hadron<-muon,B_tbl_minus_hqql,0.017007993534207344,-0.004369490314275026,0.004369490314275026,17.893075942993164,0.0285499170422554,-0.004369490314275026,-0.004369490314275026,0.007646608049981296,-0.004369490314275026,-0.004369490314275026,-0.004369490314275026,0.0065542354714125395,mod.cls_blocks.0.attn,5,0.07654515659669414,0.07654515659669414,0.0978110448922962,0.0978110448922962,0,0,,0,,,0.027875269777723588,weak_or_distributed,"mod.cls_blocks.0.attn.h5 uses charged_hadron<-muon; natural A×grad=-0.0044, value/write=-0.0044 so it resists Tbl / protective. Routes: "
mod.blocks.4.attn.h0,charged_hadron<-electron,B_tbl_minus_hqql,0.0358465985852783,-0.00029304159846614607,0.0004072582416267971,0.4904010756541107,0.0004188188367475898,-0.00029304159846614607,-0.00029304159846614607,0.0005413769581059184,-0.00029304158573938626,-0.00029304158573938626,-0.00029304158573938626,0.0004395623786090794,mod.blocks.4.attn,0,0.028158916160464287,0.028158916160464287,0.06836633462808095,0.06836633462808095,1,0,muon<-electron,0,,,0.027740028867482256,rule_supported_weak_write,"mod.blocks.4.attn.h0 uses charged_hadron<-electron; natural A×grad=-2.930e-04, value/write=-2.930e-04 so it resists Tbl / protective. Routes: muon<-electron"
mod.cls_blocks.0.attn.h2,neutral_hadron<-muon,B_tbl_minus_hqql,0.022083002453049023,0.0032656261076529822,0.005075436240683,16.050883611043293,0.02109628915786743,0.0032656261076529822,0.0032656261076529822,0.006167298221650223,0.0032656261076529822,0.0032656261076529822,0.0032656261076529822,0.004898439161479473,mod.cls_blocks.0.attn,2,0.07713457010686398,0.07713457010686398,1.6601834017783403,1.6601834017783403,0,0,,0,,,0.027624704875051975,weak_or_distributed,"mod.cls_blocks.0.attn.h2 uses neutral_hadron<-muon; natural A×grad=0.0033, value/write=0.0033 so it pushes B toward Tbl. Routes: "
mod.blocks.5.attn.h2,neutral_hadron<-muon,B_tbl_minus_hqql,0.00944427418520601,0.0002744693345893688,0.0003065121225754275,2.145523312651081,0.0005968015103451447,0.0002744693345893688,0.0002744693345893688,0.00048833203252791,0.00027446929149499676,0.00027446929149499676,0.00027446929149499676,0.0004117039372424951,mod.blocks.5.attn,2,-0.02790284606453497,0.02790284606453497,-0.01977582395193167,0.01977582395193167,1,0,electron<-neutral_hadron,0,,,0.027556692930204168,rule_supported_weak_write,"mod.blocks.5.attn.h2 uses neutral_hadron<-muon; natural A×grad=2.745e-04, value/write=2.745e-04 so it pushes B toward Tbl. Routes: electron<-neutral_hadron"
mod.blocks.4.attn.h0,photon<-muon,B_tbl_minus_hqql,0.07314211471395483,2.611541629503064e-05,0.00041728743344177007,0.6368669769657191,0.0003028784034975262,2.611541629503064e-05,2.611541629503064e-05,0.0001434949828029885,2.6115411136702482e-05,2.6115411136702482e-05,2.6115411136702482e-05,3.917311670505372e-05,mod.blocks.4.attn,0,0.028158916160464287,0.028158916160464287,0.06836633462808095,0.06836633462808095,1,0,muon<-electron,0,,,0.027483131884694544,rule_supported_weak_write,"mod.blocks.4.attn.h0 uses photon<-muon; natural A×grad=2.612e-05, value/write=2.612e-05 so it pushes B toward Tbl. Routes: muon<-electron"
mod.blocks.5.attn.h2,muon<-electron,B_tbl_minus_hqql,0.06063270005558792,0.00024155583573302054,0.00024171920215563248,6.706801509857177,0.00542723941616714,0.00024155583573302054,0.00024155583573302054,0.00042276355413843896,0.0002415558357323322,0.0002415558357323322,0.0002415558357323322,0.00036233375359849833,mod.blocks.5.attn,2,-0.02790284606453497,0.02790284606453497,-0.01977582395193167,0.01977582395193167,1,0,electron<-neutral_hadron,0,,,0.027458986554021708,rule_supported_weak_write,"mod.blocks.5.attn.h2 uses muon<-electron; natural A×grad=2.416e-04, value/write=2.416e-04 so it pushes B toward Tbl. Routes: electron<-neutral_hadron"
