control,transition_type,from_id,from_label,to_id,to_label,n,from_total,rate
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,7,label_Wqq,81,220,0.36818181818181817
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,7,label_Wqq,87,251,0.3466135458167331
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,7,label_Wqq,75,243,0.30864197530864196
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,7,label_Wqq,84,273,0.3076923076923077
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,9,label_Tbl,67,243,0.2757201646090535
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,4,label_H4q,72,273,0.26373626373626374
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,0,label_QCD,63,251,0.250996015936255
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,9,label_Tbl,55,220,0.25
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,0,label_QCD,67,270,0.24814814814814815
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,9,label_Tbl,53,273,0.19413919413919414
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,7,label_Wqq,46,241,0.1908713692946058
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,9,label_Tbl,49,274,0.17883211678832117
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,6,label_Zqq,43,251,0.17131474103585656
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,6,label_Zqq,42,270,0.15555555555555556
keep_only_particle0,baseline_pred_to_control_pred,7,label_Wqq,9,label_Tbl,41,270,0.15185185185185185
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,9,label_Tbl,41,280,0.14642857142857144
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,6,label_Zqq,31,220,0.1409090909090909
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,6,label_Zqq,34,243,0.13991769547325103
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,6,label_Zqq,33,241,0.13692946058091288
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,0,label_QCD,38,280,0.1357142857142857
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,4,label_H4q,35,280,0.125
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,9,label_Tbl,31,251,0.12350597609561753
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,0,label_QCD,26,243,0.10699588477366255
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,4,label_H4q,29,274,0.10583941605839416
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,6,label_Zqq,27,274,0.09854014598540146
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,6,label_Zqq,27,280,0.09642857142857143
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,6,label_Zqq,26,273,0.09523809523809523
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,4,label_H4q,23,243,0.09465020576131687
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,0,label_QCD,20,220,0.09090909090909091
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,7,label_Wqq,21,255,0.08235294117647059
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,9,label_Tbl,18,241,0.07468879668049792
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,4,label_H4q,16,220,0.07272727272727272
keep_only_particle0,baseline_pred_to_control_pred,8,label_Tbqq,0,label_QCD,19,273,0.0695970695970696
keep_only_particle0,baseline_pred_to_control_pred,9,label_Tbl,6,label_Zqq,17,253,0.06719367588932806
keep_only_particle0,baseline_pred_to_control_pred,5,label_Hqql,0,label_QCD,17,255,0.06666666666666667
keep_only_particle0,baseline_pred_to_control_pred,0,label_QCD,2,label_Hcc,16,241,0.06639004149377593
keep_only_particle0,baseline_pred_to_control_pred,4,label_H4q,0,label_QCD,18,274,0.06569343065693431
keep_only_particle0,baseline_pred_to_control_pred,1,label_Hbb,5,label_Hqql,15,243,0.06172839506172839
keep_only_particle0,baseline_pred_to_control_pred,2,label_Hcc,5,label_Hqql,13,220,0.05909090909090909
keep_only_particle0,baseline_pred_to_control_pred,3,label_Hgg,5,label_Hqql,16,280,0.05714285714285714
keep_only_particle0,baseline_pred_to_control_pred,6,label_Zqq,2,label_Hcc,14,251,0.055776892430278883
