module_name,call_index,module_type,captured_input_shape,captured_output_shape,replay_output_shape,replay_rel_err,accepted,fail_reason,mha_rel_err,pair_bias_norm,attn_mask_source,attn_mask_dtype,key_padding_mask_source,key_padding_mask_dtype,normalized_attn_mask_kind,attention_probs_shape
mod.pair_embed.embed.4,0,Conv1d,[32x64x8256],32x64x8256,32x64x8256,7.450358907590271e-08,True,,,,,,,,,
mod.pair_embed.embed.5,0,BatchNorm1d,[32x64x8256],32x64x8256,32x64x8256,1.0015581608513457e-07,True,,,,,,,,,
mod.pair_embed.embed.6,0,GELU,[32x64x8256],32x64x8256,32x64x8256,1.0066825950616476e-07,True,,,,,,,,,
mod.pair_embed.embed.7,0,Conv1d,[32x64x8256],32x64x8256,32x64x8256,8.114023586358599e-08,True,,,,,,,,,
mod.pair_embed.embed.8,0,BatchNorm1d,[32x64x8256],32x64x8256,32x64x8256,8.118358607589471e-08,True,,,,,,,,,
mod.pair_embed.embed.9,0,GELU,[32x64x8256],32x64x8256,32x64x8256,9.204062934031754e-08,True,,,,,,,,,
mod.pair_embed.embed.10,0,Conv1d,[32x64x8256],32x8x8256,32x8x8256,7.691127024145317e-08,True,,,,,,,,,
mod.pair_embed.embed.11,0,BatchNorm1d,[32x8x8256],32x8x8256,32x8x8256,5.7196562153194463e-08,True,,,,,,,,,
mod.pair_embed.embed.12,0,GELU,[32x8x8256],32x8x8256,32x8x8256,1.8364072928989117e-08,True,,,,,,,,,
mod.pair_embed.embed,0,Sequential,[32x4x8256],32x8x8256,32x8x8256,1.901989890029654e-07,True,,,,,,,,,
mod.pair_embed,0,PairEmbed,"[32x4x128,None]",32x8x128x128,32x8x128x128,4.124331667298975e-07,True,,,,,,,,,
mod.blocks.0.pre_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,7.106801547251962e-08,True,,,,,,,,,
mod.blocks.0.attn,0,MultiheadAttention,"[128x32x128,128x32x128,128x32x128]","[128x32x128,32x128x128]",128x32x128,2.703569066397904e-07,True,,2.703569066397904e-07,14801.2197265625,kwargs,torch.float32,kwargs,torch.bool,torch.float32,"(32, 8, 128, 128)"
mod.blocks.0.post_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.707566934162969e-08,True,,,,,,,,,
mod.blocks.0.dropout,0,Dropout,[128x32x128],128x32x128,128x32x128,0.0,True,,,,,,,,,
mod.blocks.0.pre_fc_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.460855838166026e-08,True,,,,,,,,,
mod.blocks.0.fc1,0,Linear,[128x32x128],128x32x512,128x32x512,9.266392453355365e-08,True,,,,,,,,,
mod.blocks.0.act,0,GELU,[128x32x512],128x32x512,128x32x512,4.229444527936721e-08,True,,,,,,,,,
mod.blocks.0.act_dropout,0,Dropout,[128x32x512],128x32x512,128x32x512,0.0,True,,,,,,,,,
mod.blocks.0.post_fc_norm,0,LayerNorm,[128x32x512],128x32x512,128x32x512,8.880568458380367e-08,True,,,,,,,,,
mod.blocks.0.fc2,0,Linear,[128x32x512],128x32x128,128x32x128,3.8166123772498395e-07,True,,,,,,,,,
mod.blocks.0,0,Block,[128x32x128],128x32x128,128x32x128,2.452185867696244e-07,True,,,,,,,,,
mod.blocks.1.pre_attn_norm,0,LayerNorm,[128x32x128],128x32x128,128x32x128,8.498571446580172e-08,True,,,,,,,,,
mod.blocks.1.attn,0,MultiheadAttention,"[128x32x128,128x32x128,128x32x128]","[128x32x128,32x128x128]",128x32x128,3.516528295222088e-07,True,,3.516528295222088e-07,14801.2197265625,kwargs,torch.float32,kwargs,torch.bool,torch.float32,"(32, 8, 128, 128)"
