particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
second_lepton,L2_ch64:96,label_Tbl,2.2236301317458733,-0.18248089297143602,1.9657497071921082,-2.406111024717309,-2.148230600163544,0.7642740733770635,0,5.168881330688585,PATH: second_lepton -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-2.4061; B-C=-2.1482; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch64:96,label_Tbl,161.81122506852083,261.43774808333586,129.7673571614369,99.62652301481504,131.67039092189896,0.7509326106792258,0,13117.863231550258,PATH: photon_neighbor -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=99.6265; B-C=131.6704; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch128:160,label_Tbl,8.73290535135311,10.138827040901788,9.209576111343043,1.405921689548677,0.9292509295587443,0.7287396719670041,0,1.3064540368999085,PATH: best_lepton -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=1.4059; B-C=0.9293; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch0:32,label_Tbl,2.506547384073315,0.3989340347869472,2.5026106359215086,-2.1076133492863676,-2.1036766011345613,0.6790698968171881,0,4.433736887132575,PATH: second_lepton -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-2.1076; B-C=-2.1037; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch96:128,label_Tbl,0.05707397120750102,-1.285283061805444,-0.3049389327275973,-1.342357033012945,-0.9803441290778467,0.677840287101019,0,1.315971836440598,PATH: best_lepton -> L2_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-1.3424; B-C=-0.9803; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch128:160,label_Tbl,2.051905363344018,3.0088402567502612,2.551173259037173,0.9569348934062432,0.4576669977130883,0.6564838848019224,0,0.4379575196721295,PATH: photon_neighbor -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.9569; B-C=0.4577; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch64:96,label_Tbl,240.88240848421592,374.82886957127204,161.31432033537476,133.94646108705612,213.51454923589728,0.6244166727346682,0,28599.51826074644,PATH: hadron_neighbor -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=133.9465; B-C=213.5145; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch128:160,label_Tbl,10.801069702140426,12.580892511266892,14.548634456101668,1.7798228091264665,-1.967741944834776,0.5997229011855865,0,3.5022319958918073,PATH: particle0_best_lepton -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=1.7798; B-C=-1.9677; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch0:32,label_Tbl,2.1394550668609322,1.145376901127591,1.8472913473530974,-0.9940781657333413,-0.7019144462255065,0.5840940876540537,0,0.6977578252055855,PATH: hardest_hadron -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.9941; B-C=-0.7019; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch0:32,label_Tbl,-1.3799722211176686,-5.827885117102824,1.041829367167377,-4.447912895985155,-6.869714484270201,0.565193680771461,0,30.555891646321435,PATH: particle0 -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-4.4479; B-C=-6.8697; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch192:224,label_Tbl,-0.4949575291162207,0.23784077582359586,-0.06312003938823313,0.7327983049398166,0.300960815211829,0.5632746938811517,0,0.22054357524053364,PATH: hardest_hadron -> L2_ch192:224 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.7328; B-C=0.3010; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch96:128,label_Tbl,219.1759459890317,258.0701895899134,188.51010839883008,38.89424360088171,69.56008119108333,0.5512216389824218,0,2705.486742743105,PATH: hard_hadron -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=38.8942; B-C=69.5601; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch32:64,label_Tbl,65.81651636085053,48.16575165620634,79.54536204466964,-17.65076470464419,-31.379610388463306,0.5451197371705581,0,553.8741194901743,PATH: hardest_hadron -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-17.6508; B-C=-31.3796; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch224:256,label_Tbl,4.802570885963474,2.8566399125763176,5.47526453226862,-1.9459309733871568,-2.618624619692303,0.5377543066494204,0,5.095662755133416,PATH: photon_neighbor -> L2_ch224:256 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-1.9459; B-C=-2.6186; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch96:128,label_Tbl,223.05265986473287,264.14146211162915,188.40290812723342,41.08880224689628,75.73855398439574,0.5354388389342261,0,3112.0064671307146,PATH: hadron_neighbor -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=41.0888; B-C=75.7386; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch0:32,label_Tbl,1.218958230195009,0,1.3291613557920663,-1.218958230195009,-1.3291613557920663,0.5233464084245396,0,1.620192173899896,PATH: photon_neighbor -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-1.2190; B-C=-1.3292; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch224:256,label_Tbl,4.832490139267745,2.3761283602889565,6.112854318089448,-2.4563617789787884,-3.736725957800491,0.5185779799934648,0,9.178750821259031,PATH: hardest_hadron -> L2_ch224:256 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-2.4564; B-C=-3.7367; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L0_ch0:32,label_Tbl,767.5998665557737,979.6825519396316,556.8245259327981,212.0826853838579,422.8580260068335,0.5003625562594365,0,89680.86569164647,PATH: hadron_neighbor -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=212.0827; B-C=422.8580; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L0_ch0:32,label_Tbl,637.0965927791657,789.770961269601,482.40686500475545,152.6743684904353,307.36409626484556,0.4951107160001774,0,46926.619293868665,PATH: photon_neighbor -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=152.6744; B-C=307.3641; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch192:224,label_Tbl,-0.5611880228204525,-0.0541646197774008,-0.12990490364627705,0.5070234030430517,0.07574028386887624,0.47132510573979175,0,0.03840209647464438,PATH: hard_hadron -> L2_ch192:224 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.5070; B-C=0.0757; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch128:160,label_Tbl,3.0085767935584045,2.164468793258415,2.9942935723402657,-0.8441080002999897,-0.8298247790818509,0.46130537194033233,0,0.7004617348701618,PATH: second_lepton -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.8441; B-C=-0.8298; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch128:160,label_Tbl,2.8414893010983375,2.349905414312552,2.456211172060152,-0.4915838867857856,-0.1063057577476001,0.4443472189701274,0,0.05225819758127339,PATH: hadron_neighbor -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.4916; B-C=-0.1063; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch64:96,label_Tbl,1.162022065545275,0.13513068665679384,1.588427354080097,-1.0268913788884813,-1.4532966674233032,0.4185761112890701,0,1.4923778187443504,PATH: photon_neighbor -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-1.0269; B-C=-1.4533; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch160:192,label_Tbl,0.9552822267686376,2.654028324133236,-0.45990768187142095,1.6987460973645985,3.113936006004657,0.41292477444596287,0,5.289786637643516,PATH: hardest_hadron -> L2_ch160:192 -> label_Tbl; DIAGNOSIS: anomaly; B-A=1.6987; B-C=3.1139; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch0:32,label_Tbl,0.8362205556774427,1.4990709508366677,0.8607096918211175,0.6628503951592251,0.6383612590155503,0.4045813409659815,0,0.42313801279279795,PATH: hadron_neighbor -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.6629; B-C=0.6384; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L0_ch32:64,label_Tbl,31.354457907585164,53.51720053487522,110.69546891601365,22.162742627290058,-57.17826838113843,0.3809453812220249,0,1267.227246005288,PATH: photon_neighbor -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=22.1627; B-C=-57.1783; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L1_ch32:64,label_Tbl,55.82584427001893,0,162.42076413046152,-55.82584427001893,-162.42076413046152,0.3416080237236697,0,9067.276284564621,PATH: other_lepton -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-55.8258; B-C=-162.4208; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L2_ch96:128,label_Tbl,0.22211085152781607,0.7697222735533984,0.16254564686195014,0.5476114220255823,0.6071766266914482,0.3407288364769847,0,0.3324968559632001,PATH: hardest_hadron -> L2_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.5476; B-C=0.6072; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch32:64,label_Tbl,0.05174367670766542,0.5096938419534559,0.9074069287489733,0.45795016524579046,-0.3977130867955174,0.3276424679514986,0,0.1821327738184206,PATH: hard_hadron -> L2_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.4580; B-C=-0.3977; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L2_ch192:224,label_Tbl,-0.6825298175159844,-0.13555348097262745,-0.8335056480139398,0.546976336543357,0.6979521670413124,0.3221388371007325,0,0.3817633194107542,PATH: second_lepton -> L2_ch192:224 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.5470; B-C=0.6980; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch224:256,label_Tbl,10.281598932866473,9.379890132860282,11.187811910962436,-0.9017088000061904,-1.8079217781021537,0.32113031318687457,0,1.630218977037551,PATH: best_lepton -> L2_ch224:256 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.9017; B-C=-1.8079; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch224:256,label_Tbl,3.602099480694366,2.7117099078506772,4.545817473154581,-0.8903895728436888,-1.8341075653039036,0.3141692939760427,0,1.6330702516203208,PATH: hard_hadron -> L2_ch224:256 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.8904; B-C=-1.8341; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L0_ch32:64,label_Tbl,72.9310453088192,54.861315805028596,112.08106938890091,-18.069729503790597,-57.21975358387232,0.31037110931359496,0,1033.9454695341253,PATH: hardest_hadron -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-18.0697; B-C=-57.2198; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L2_ch160:192,label_Tbl,0.5452703325125179,-0.09389267549809925,0.9776867682773224,-0.6391630080106171,-1.0715794437754216,0.30853897972927957,0,0.6849139406058424,PATH: photon_neighbor -> L2_ch160:192 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.6392; B-C=-1.0716; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L1_ch32:64,label_Tbl,52.95513424478759,0,177.15246505536925,-52.95513424478759,-177.15246505536925,0.29724614940539434,0,9381.13256880212,PATH: second_lepton -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-52.9551; B-C=-177.1525; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch0:32,label_Tbl,-0.84891250897806,0,2.3458709659983694,0.84891250897806,-2.3458709659983694,0.2537194403504901,0,1.9914392074844611,PATH: best_lepton -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.8489; B-C=-2.3459; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch64:96,label_Tbl,174.54555942297054,192.00454333399853,122.77569589533968,17.458983911027985,69.22884743865885,0.24860131623657183,0,1208.6653336105558,PATH: hard_hadron -> L1_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=17.4590; B-C=69.2288; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L0_ch0:32,label_Tbl,678.7827446467433,745.9108372991271,474.5759670323886,67.12809265238388,271.33487026673856,0.24649099319024123,0,18214.192311088187,PATH: hard_hadron -> L0_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=67.1281; B-C=271.3349; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch64:96,label_Tbl,0.875783454998351,0.402136869740571,1.3252011175479421,-0.47364658525778,-0.9230642478073712,0.24629784771768273,0,0.43720622894750255,PATH: hard_hadron -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.4736; B-C=-0.9231; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch160:192,label_Tbl,-0.5355995203963175,-1.9652431815325144,2.9538164091962256,-1.429643661136197,-4.9190595907287396,0.24153222977776825,0,7.032502362636557,PATH: best_lepton -> L2_ch160:192 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-1.4296; B-C=-4.9191; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch160:192,label_Tbl,0.21831629067242364,-0.4413452527786603,1.3603524820252328,-0.659661543451084,-1.8016977348038932,0.23545064667629373,0,1.188510708573058,PATH: hadron_neighbor -> L2_ch160:192 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.6597; B-C=-1.8017; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L2_ch64:96,label_Tbl,0.9814373591269003,0.6278323659369699,1.2003142818888453,-0.35360499318993044,-0.5724819159518754,0.22487062623920964,0,0.2024324639915212,PATH: hadron_neighbor -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.3536; B-C=-0.5725; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch0:32,label_Tbl,1.3671924296447715,1.6186033629617655,1.45901232653097,0.25141093331699405,0.15959103643079553,0.21681000061093372,0,0.0401229314180927,PATH: hard_hadron -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.2514; B-C=0.1596; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch160:192,label_Tbl,2.7464325862098855,3.1225621069824685,2.3657168202694234,0.376129520772583,0.7568452867130451,0.21409370740681405,0,0.2846718549903658,PATH: particle0_best_lepton -> L2_ch160:192 -> label_Tbl; DIAGNOSIS: anomaly; B-A=0.3761; B-C=0.7568; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch64:96,label_Tbl,2.311394325303647,1.0418418595680123,6.036252780366939,-1.2695524657356347,-4.994410920798927,0.2117893622091611,0,6.34066669939726,PATH: particle0_best_lepton -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-1.2696; B-C=-4.9944; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch128:160,label_Tbl,1.901510118869442,1.637328973210201,1.902258491084169,-0.2641811456592411,-0.2649295178739679,0.20885048686606977,0,0.06998938355089523,PATH: hard_hadron -> L2_ch128:160 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.2642; B-C=-0.2649; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L2_ch96:128,label_Tbl,0.41777123723892323,0.16019300330883723,-0.10968233927108162,-0.257578233930086,0.26987534257991885,0.20283741662924323,0,0.06951401412301243,PATH: hard_hadron -> L2_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-0.2576; B-C=0.2699; NEXT_PROBE: inspect particle geometry/source blocks.
