particle_role,head_id,class_label,A_flow,B_flow,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,auto_formulation
hardest_hadron,L0_ch32:64,label_Tbl,72.9310453088192,54.861315805028596,112.08106938890091,-18.069729503790597,-57.21975358387232,0.31037110931359496,0,1033.9454695341253,PATH: hardest_hadron -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-18.0697; B-C=-57.2198; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch32:64,label_Hqql,70.38928466318006,56.04723976426144,-10.677992168798404,-14.342044898918623,66.72523193305985,0,14.342044898918623,956.976272274703,PATH: hard_hadron -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-14.3420; B-C=66.7252; NEXT_PROBE: inspect particle geometry/source blocks.
other_lepton,L1_ch64:96,label_Hqql,224.7330287735076,0,-4.228500380924197,-224.7330287735076,4.228500380924197,0,224.7330287735076,950.2836977750255,PATH: other_lepton -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-224.7330; B-C=4.2285; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L0_ch32:64,label_Tbl,24.508195527273237,109.30527195265677,99.2750727769048,84.79707642538352,10.03019917575196,7.687719421404071,0,850.5315660680578,PATH: hard_hadron -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=84.7971; B-C=10.0302; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch96:128,label_Hqql,315.73506384016207,307.3778525220771,215.50497113489183,-8.357211318084978,91.87288138718526,0,8.357211318084978,767.8010841540633,PATH: hard_hadron -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-8.3572; B-C=91.8729; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch96:128,label_Hqql,332.14564543880886,309.62603133174207,278.91024918170694,-22.519614107066786,30.715782150035125,0,22.519614107066786,691.7075610155212,PATH: particle0_best_lepton -> L1_ch96:128 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-22.5196; B-C=30.7158; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch32:64,label_Tbl,0,98.81738810819661,91.8400997777612,98.81738810819661,6.977288330435414,12.387340662012024,0,689.4774088914274,PATH: particle0_best_lepton -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=98.8174; B-C=6.9773; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch64:96,label_Hqql,176.92937644401906,179.28095850485957,-93.09328226907162,2.3515820608405136,272.3742407739312,0,0,640.5103784390313,PATH: hadron_neighbor -> L1_ch64:96 -> label_Hqql; DIAGNOSIS: anomaly; B-A=2.3516; B-C=272.3742; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch32:64,label_Hqql,66.24635270142932,57.04303435712075,-11.640482272996632,-9.203318344308563,68.68351663011738,0,9.203318344308563,632.1162685535816,PATH: photon_neighbor -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-9.2033; B-C=68.6835; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L0_ch32:64,label_Tbl,5.846091885520536,0,105.49042636182548,-5.846091885520536,-105.49042636182548,0.05489781650096045,0,616.7067255539696,PATH: particle0_best_lepton -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-5.8461; B-C=-105.4904; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L1_ch32:64,label_Tbl,0,74.3488698607689,66.1346528571708,74.3488698607689,8.214217003598094,8.068929767091022,0,610.7177510086298,PATH: particle0 -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=74.3489; B-C=8.2142; NEXT_PROBE: inspect particle geometry/source blocks.
second_lepton,L0_ch32:64,label_Tbl,5.462846381715281,0,103.59808016740098,-5.462846381715281,-103.59808016740098,0.052227023411638394,0,565.940397395136,PATH: second_lepton -> L0_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-5.4628; B-C=-103.5981; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch32:64,label_Tbl,65.81651636085053,48.16575165620634,79.54536204466964,-17.65076470464419,-31.379610388463306,0.5451197371705581,0,553.8741194901743,PATH: hardest_hadron -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-17.6508; B-C=-31.3796; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L1_ch96:128,label_Tbl,212.93195472687364,256.4572103219128,268.33851245988757,43.52525559503914,-11.881302137974785,3.3789484268616214,0,517.1367123572376,PATH: particle0_best_lepton -> L1_ch96:128 -> label_Tbl; DIAGNOSIS: anomaly; B-A=43.5253; B-C=-11.8813; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch0:32,label_Tbl,173.32998738580227,218.14060455862915,207.1406355430559,44.81061717282688,10.999969015573242,3.734227739644398,0,492.9154004698099,PATH: photon_neighbor -> L1_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=44.8106; B-C=11.0000; NEXT_PROBE: inspect particle geometry/source blocks.
hardest_hadron,L1_ch32:64,label_Hqql,58.41325295989077,63.888292346144226,-17.540493767678928,5.4750393862534565,81.42878611382315,0,0,445.8258111479903,PATH: hardest_hadron -> L1_ch32:64 -> label_Hqql; DIAGNOSIS: anomaly; B-A=5.4750; B-C=81.4288; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch224:256,label_Tbl,12.49308847822249,31.870878759591506,11.632968495358588,19.377790281369016,20.237910264232916,0.9124151124229696,0,392.1659808334708,PATH: particle0 -> L2_ch224:256 -> label_Tbl; DIAGNOSIS: anomaly; B-A=19.3778; B-C=20.2379; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch224:256,label_Hqql,11.83553345312248,33.96180009834643,19.893790010445542,22.12626664522395,14.068010087900888,0,0,311.27254237259547,PATH: particle0 -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=22.1263; B-C=14.0680; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch32:64,label_Tbl,0,12.137627809426021,1.105750868468716,12.137627809426021,11.031876940957305,1.0087892245729952,0,133.90081634872905,PATH: particle0 -> L2_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=12.1376; B-C=11.0319; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch224:256,label_Hqql,15.84605138754235,18.889710552766722,37.91921192418577,3.0436591652243727,-19.029501371419045,0,0,57.91931625876934,PATH: particle0_best_lepton -> L2_ch224:256 -> label_Hqql; DIAGNOSIS: anomaly; B-A=3.0437; B-C=-19.0295; NEXT_PROBE: inspect particle geometry/source blocks.
hard_hadron,L1_ch32:64,label_Tbl,66.17897845636547,85.41768357657865,82.89967881794043,19.238705120213183,2.5180047586382273,5.468641016750707,0,48.44315104273442,PATH: hard_hadron -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=19.2387; B-C=2.5180; NEXT_PROBE: inspect particle geometry/source blocks.
photon_neighbor,L1_ch32:64,label_Tbl,72.67897117040054,79.25866643803346,85.85139370961303,6.579695267632914,-6.592727271579577,0.8665786393067806,0,43.37813642960659,PATH: photon_neighbor -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=6.5797; B-C=-6.5927; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch32:64,label_Tbl,-0.6210522796159239,8.486799726705385,4.739119712261105,9.107852006321309,3.7476800144442803,1.9183794987471139,0,34.13331493860661,PATH: best_lepton -> L2_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=9.1079; B-C=3.7477; NEXT_PROBE: inspect particle geometry/source blocks.
particle0_best_lepton,L2_ch160:192,label_Hqql,3.323591026336222,-2.180467781897984,-8.042283350795545,-5.5040588082342055,5.861815568897561,0,5.5040588082342055,32.26377761423502,PATH: particle0_best_lepton -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-5.5041; B-C=5.8618; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch0:32,label_Tbl,-1.3799722211176686,-5.827885117102824,1.041829367167377,-4.447912895985155,-6.869714484270201,0.565193680771461,0,30.555891646321435,PATH: particle0 -> L2_ch0:32 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-4.4479; B-C=-6.8697; NEXT_PROBE: inspect particle geometry/source blocks.
particle0,L2_ch160:192,label_Hqql,0,-1.5500730892359371,-19.451679844124556,-1.5500730892359371,17.90160675488862,0,1.5500730892359371,27.74879888483712,PATH: particle0 -> L2_ch160:192 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-1.5501; B-C=17.9016; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch64:96,label_Tbl,5.529760571197926,0.33375624489096367,4.840161987846037,-5.196004326306962,-4.5064057429550735,0.9436290329594327,0,23.4153037364891,PATH: best_lepton -> L2_ch64:96 -> label_Tbl; DIAGNOSIS: anomaly; B-A=-5.1960; B-C=-4.5064; NEXT_PROBE: inspect particle geometry/source blocks.
best_lepton,L2_ch128:160,label_Hqql,11.713934538010221,9.578150246056794,-1.043609850227973,-2.135784291953428,10.621760096284767,0,2.135784291953428,22.685788366542734,PATH: best_lepton -> L2_ch128:160 -> label_Hqql; DIAGNOSIS: anomaly; B-A=-2.1358; B-C=10.6218; NEXT_PROBE: inspect particle geometry/source blocks.
hadron_neighbor,L1_ch32:64,label_Tbl,67.78536092262613,84.92451573173639,86.1384840321659,17.139154809110266,-1.2139683004295136,7.741373174035618,0,20.806390634413916,PATH: hadron_neighbor -> L1_ch32:64 -> label_Tbl; DIAGNOSIS: anomaly; B-A=17.1392; B-C=-1.2140; NEXT_PROBE: inspect particle geometry/source blocks.
